Iteration,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Positives,Negatives
0,0.6501057082452432,426,1419,993,0,1419,1419
1,0.6501057082452432,426,1419,993,0,1419,1419
2,0.7142353770260746,608,1419,811,0,1419,1419
3,0.7142353770260746,608,1419,811,0,1419,1419
4,0.8594080338266384,1020,1419,399,0,1419,1419
5,0.8594080338266384,1020,1419,399,0,1419,1419
6,0.8594080338266384,1020,1419,399,0,1419,1419
7,0.9718111346018323,1339,1419,80,0,1419,1419
8,0.9823819591261451,1369,1419,50,0,1419,1419
9,0.9823819591261451,1369,1419,50,0,1419,1419
10,0.9823819591261451,1369,1419,50,0,1419,1419
11,0.9823819591261451,1369,1419,50,0,1419,1419
12,0.9876673713883016,1384,1419,35,0,1419,1419
13,0.98907681465821,1388,1419,31,0,1419,1419
14,0.98907681465821,1388,1419,31,0,1419,1419
15,0.98907681465821,1388,1419,31,0,1419,1419
16,0.9922480620155039,1400,1416,19,3,1419,1419
17,0.9922480620155039,1400,1416,19,3,1419,1419
18,0.9922480620155039,1400,1416,19,3,1419,1419
19,0.9922480620155039,1400,1416,19,3,1419,1419
20,0.992952783650458,1405,1413,14,6,1419,1419
21,0.992952783650458,1405,1413,14,6,1419,1419
22,0.992952783650458,1405,1413,14,6,1419,1419
23,0.992952783650458,1405,1413,14,6,1419,1419
24,0.9933051444679352,1406,1413,13,6,1419,1419
25,0.9933051444679352,1406,1413,13,6,1419,1419
26,0.9933051444679352,1406,1413,13,6,1419,1419
27,0.9933051444679352,1406,1413,13,6,1419,1419
28,0.9933051444679352,1406,1413,13,6,1419,1419
29,0.9933051444679352,1406,1413,13,6,1419,1419
30,0.9933051444679352,1406,1413,13,6,1419,1419
31,0.9936575052854123,1407,1413,12,6,1419,1419
32,0.9936575052854123,1407,1413,12,6,1419,1419
33,0.9936575052854123,1407,1413,12,6,1419,1419
34,0.9936575052854123,1407,1413,12,6,1419,1419
35,0.9936575052854123,1407,1413,12,6,1419,1419
36,0.9936575052854123,1407,1413,12,6,1419,1419
37,0.9936575052854123,1407,1413,12,6,1419,1419
38,0.9936575052854123,1407,1413,12,6,1419,1419
39,0.9936575052854123,1407,1413,12,6,1419,1419
40,0.9936575052854123,1407,1413,12,6,1419,1419
41,0.9936575052854123,1407,1413,12,6,1419,1419
42,0.9936575052854123,1407,1413,12,6,1419,1419
43,0.9936575052854123,1407,1413,12,6,1419,1419
44,0.9936575052854123,1407,1413,12,6,1419,1419
45,0.9936575052854123,1407,1413,12,6,1419,1419
46,0.9936575052854123,1407,1413,12,6,1419,1419
47,0.9936575052854123,1407,1413,12,6,1419,1419
48,0.9936575052854123,1407,1413,12,6,1419,1419
49,0.9936575052854123,1407,1413,12,6,1419,1419
50,0.9936575052854123,1407,1413,12,6,1419,1419
51,0.9943622269203665,1408,1414,11,5,1419,1419
52,0.9954193093727978,1410,1415,9,4,1419,1419
53,0.9954193093727978,1410,1415,9,4,1419,1419
54,0.9954193093727978,1410,1415,9,4,1419,1419
55,0.9954193093727978,1410,1415,9,4,1419,1419
56,0.9957716701902748,1414,1412,5,7,1419,1419
57,0.9957716701902748,1414,1412,5,7,1419,1419
58,0.9957716701902748,1414,1412,5,7,1419,1419
59,0.9957716701902748,1414,1412,5,7,1419,1419
60,0.9957716701902748,1414,1412,5,7,1419,1419
61,0.9968287526427061,1414,1415,5,4,1419,1419
62,0.9968287526427061,1414,1415,5,4,1419,1419
63,0.9968287526427061,1414,1415,5,4,1419,1419
64,0.9968287526427061,1414,1415,5,4,1419,1419
65,0.9968287526427061,1414,1415,5,4,1419,1419
66,0.9968287526427061,1414,1415,5,4,1419,1419
67,0.9968287526427061,1414,1415,5,4,1419,1419
68,0.9968287526427061,1414,1415,5,4,1419,1419
69,0.9968287526427061,1414,1415,5,4,1419,1419
70,0.9968287526427061,1414,1415,5,4,1419,1419
71,0.9968287526427061,1414,1415,5,4,1419,1419
72,0.9968287526427061,1414,1415,5,4,1419,1419
73,0.9968287526427061,1414,1415,5,4,1419,1419
74,0.9968287526427061,1414,1415,5,4,1419,1419
75,0.9968287526427061,1414,1415,5,4,1419,1419
76,0.9968287526427061,1414,1415,5,4,1419,1419
77,0.9968287526427061,1414,1415,5,4,1419,1419
78,0.9968287526427061,1414,1415,5,4,1419,1419
79,0.9968287526427061,1414,1415,5,4,1419,1419
80,0.9968287526427061,1414,1415,5,4,1419,1419
81,0.9968287526427061,1414,1415,5,4,1419,1419
82,0.9968287526427061,1414,1415,5,4,1419,1419
83,0.9968287526427061,1414,1415,5,4,1419,1419
84,0.9968287526427061,1414,1415,5,4,1419,1419
85,0.9968287526427061,1414,1415,5,4,1419,1419
86,0.9968287526427061,1414,1415,5,4,1419,1419
87,0.9968287526427061,1414,1415,5,4,1419,1419
88,0.9968287526427061,1414,1415,5,4,1419,1419
89,0.9968287526427061,1414,1415,5,4,1419,1419
90,0.9968287526427061,1414,1415,5,4,1419,1419
91,0.9968287526427061,1414,1415,5,4,1419,1419
92,0.9968287526427061,1414,1415,5,4,1419,1419
93,0.9968287526427061,1414,1415,5,4,1419,1419
94,0.9968287526427061,1414,1415,5,4,1419,1419
95,0.9968287526427061,1414,1415,5,4,1419,1419
96,0.9968287526427061,1414,1415,5,4,1419,1419
97,0.9968287526427061,1414,1415,5,4,1419,1419
98,0.9968287526427061,1414,1415,5,4,1419,1419
99,0.9968287526427061,1414,1415,5,4,1419,1419
